date,temperature_2m
2024-09-01 00:00:00+00:00,15.695499
2024-09-01 01:00:00+00:00,15.2455
2024-09-01 02:00:00+00:00,14.695499
2024-09-01 03:00:00+00:00,14.445499
2024-09-01 04:00:00+00:00,14.0955
2024-09-01 05:00:00+00:00,14.0455
2024-09-01 06:00:00+00:00,14.945499
2024-09-01 07:00:00+00:00,16.2455
2024-09-01 08:00:00+00:00,18.1955
2024-09-01 09:00:00+00:00,20.8955
2024-09-01 10:00:00+00:00,22.5455
2024-09-01 11:00:00+00:00,23.5455
2024-09-01 12:00:00+00:00,24.1455
2024-09-01 13:00:00+00:00,24.2955
2024-09-01 14:00:00+00:00,24.5455
2024-09-01 15:00:00+00:00,24.5455
2024-09-01 16:00:00+00:00,23.9455
2024-09-01 17:00:00+00:00,22.7455
2024-09-01 18:00:00+00:00,21.2455
2024-09-01 19:00:00+00:00,19.4955
2024-09-01 20:00:00+00:00,18.2955
2024-09-01 21:00:00+00:00,17.1955
2024-09-01 22:00:00+00:00,16.345499
2024-09-01 23:00:00+00:00,15.695499
2024-09-02 00:00:00+00:00,14.9955
2024-09-02 01:00:00+00:00,14.445499
2024-09-02 02:00:00+00:00,14.0955
2024-09-02 03:00:00+00:00,13.7455
2024-09-02 04:00:00+00:00,13.3955
2024-09-02 05:00:00+00:00,13.2955
2024-09-02 06:00:00+00:00,14.1455
2024-09-02 07:00:00+00:00,16.1455
2024-09-02 08:00:00+00:00,18.5455
2024-09-02 09:00:00+00:00,20.9455
2024-09-02 10:00:00+00:00,22.9955
2024-09-02 11:00:00+00:00,24.4455
2024-09-02 12:00:00+00:00,25.4955
2024-09-02 13:00:00+00:00,26.4955
2024-09-02 14:00:00+00:00,26.7955
2024-09-02 15:00:00+00:00,26.8955
2024-09-02 16:00:00+00:00,26.7455
2024-09-02 17:00:00+00:00,25.9455
2024-09-02 18:00:00+00:00,24.1455
2024-09-02 19:00:00+00:00,22.7455
2024-09-02 20:00:00+00:00,21.595499
2024-09-02 21:00:00+00:00,20.6955
2024-09-02 22:00:00+00:00,20.095499
2024-09-02 23:00:00+00:00,19.4955
2024-09-03 00:00:00+00:00,18.9955
2024-09-03 01:00:00+00:00,18.595499
2024-09-03 02:00:00+00:00,18.2955
2024-09-03 03:00:00+00:00,18.0455
2024-09-03 04:00:00+00:00,17.7955
2024-09-03 05:00:00+00:00,17.7455
2024-09-03 06:00:00+00:00,18.5455
2024-09-03 07:00:00+00:00,20.6955
2024-09-03 08:00:00+00:00,23.4455
2024-09-03 09:00:00+00:00,26.1455
2024-09-03 10:00:00+00:00,28.739
2024-09-03 11:00:00+00:00,30.489
2024-09-03 12:00:00+00:00,31.539
2024-09-03 13:00:00+00:00,31.939
2024-09-03 14:00:00+00:00,32.139
2024-09-03 15:00:00+00:00,31.989
2024-09-03 16:00:00+00:00,31.588999
2024-09-03 17:00:00+00:00,30.789
2024-09-03 18:00:00+00:00,29.088999
2024-09-03 19:00:00+00:00,28.139
2024-09-03 20:00:00+00:00,26.539
2024-09-03 21:00:00+00:00,24.889
2024-09-03 22:00:00+00:00,23.889
2024-09-03 23:00:00+00:00,23.189
2024-09-04 00:00:00+00:00,22.739
2024-09-04 01:00:00+00:00,22.338999
2024-09-04 02:00:00+00:00,21.689
2024-09-04 03:00:00+00:00,21.189
2024-09-04 04:00:00+00:00,20.838999
2024-09-04 05:00:00+00:00,20.489
2024-09-04 06:00:00+00:00,21.239
2024-09-04 07:00:00+00:00,23.088999
2024-09-04 08:00:00+00:00,25.338999
2024-09-04 09:00:00+00:00,27.639
2024-09-04 10:00:00+00:00,29.739
2024-09-04 11:00:00+00:00,31.489
2024-09-04 12:00:00+00:00,32.639
2024-09-04 13:00:00+00:00,33.339
2024-09-04 14:00:00+00:00,33.589
2024-09-04 15:00:00+00:00,33.239002
2024-09-04 16:00:00+00:00,32.139
2024-09-04 17:00:00+00:00,30.489
2024-09-04 18:00:00+00:00,28.838999
2024-09-04 19:00:00+00:00,27.289
2024-09-04 20:00:00+00:00,25.689
2024-09-04 21:00:00+00:00,24.338999
2024-09-04 22:00:00+00:00,23.289
2024-09-04 23:00:00+00:00,22.489
2024-09-05 00:00:00+00:00,21.789
2024-09-05 01:00:00+00:00,21.088999
2024-09-05 02:00:00+00:00,20.489
2024-09-05 03:00:00+00:00,20.088999
2024-09-05 04:00:00+00:00,19.739
2024-09-05 05:00:00+00:00,19.588999
2024-09-05 06:00:00+00:00,20.139
2024-09-05 07:00:00+00:00,21.889
2024-09-05 08:00:00+00:00,24.289
2024-09-05 09:00:00+00:00,26.389
2024-09-05 10:00:00+00:00,27.789
2024-09-05 11:00:00+00:00,28.889
2024-09-05 12:00:00+00:00,29.588999
2024-09-05 13:00:00+00:00,29.838999
2024-09-05 14:00:00+00:00,29.739
2024-09-05 15:00:00+00:00,29.239
2024-09-05 16:00:00+00:00,28.289
2024-09-05 17:00:00+00:00,26.989
2024-09-05 18:00:00+00:00,25.689
2024-09-05 19:00:00+00:00,24.389
2024-09-05 20:00:00+00:00,22.989
2024-09-05 21:00:00+00:00,21.838999
2024-09-05 22:00:00+00:00,20.989
2024-09-05 23:00:00+00:00,20.338999
2024-09-06 00:00:00+00:00,19.689
2024-09-06 01:00:00+00:00,18.939
2024-09-06 02:00:00+00:00,18.139
2024-09-06 03:00:00+00:00,17.639
2024-09-06 04:00:00+00:00,17.539
2024-09-06 05:00:00+00:00,17.689
2024-09-06 06:00:00+00:00,17.789
2024-09-06 07:00:00+00:00,19.8195
2024-09-06 08:00:00+00:00,22.2695
2024-09-06 09:00:00+00:00,24.4195
2024-09-06 10:00:00+00:00,25.869501
2024-09-06 11:00:00+00:00,27.0195
2024-09-06 12:00:00+00:00,27.8195
2024-09-06 13:00:00+00:00,28.2695
2024-09-06 14:00:00+00:00,28.3195
2024-09-06 15:00:00+00:00,28.0695
2024-09-06 16:00:00+00:00,27.369501
2024-09-06 17:00:00+00:00,26.2695
2024-09-06 18:00:00+00:00,25.119501
2024-09-06 19:00:00+00:00,23.869501
2024-09-06 20:00:00+00:00,22.5695
2024-09-06 21:00:00+00:00,21.4195
2024-09-06 22:00:00+00:00,20.5695
2024-09-06 23:00:00+00:00,19.9195
2024-09-07 00:00:00+00:00,19.2695
2024-09-07 01:00:00+00:00,18.619501
2024-09-07 02:00:00+00:00,17.969501
2024-09-07 03:00:00+00:00,17.5195
2024-09-07 04:00:00+00:00,17.1695
2024-09-07 05:00:00+00:00,16.969501
2024-09-07 06:00:00+00:00,17.4195
2024-09-07 07:00:00+00:00,18.8195
2024-09-07 08:00:00+00:00,20.869501
2024-09-07 09:00:00+00:00,22.8195
2024-09-07 10:00:00+00:00,24.619501
2024-09-07 11:00:00+00:00,26.4195
2024-09-07 12:00:00+00:00,27.6695
2024-09-07 13:00:00+00:00,28.2695
2024-09-07 14:00:00+00:00,28.369501
2024-09-07 15:00:00+00:00,28.119501
2024-09-07 16:00:00+00:00,27.469501
2024-09-07 17:00:00+00:00,26.469501
2024-09-07 18:00:00+00:00,25.369501
2024-09-07 19:00:00+00:00,24.1695
2024-09-07 20:00:00+00:00,22.8195
2024-09-07 21:00:00+00:00,21.6695
2024-09-07 22:00:00+00:00,20.8195
2024-09-07 23:00:00+00:00,20.1695
